province_code,province_name,forecast_time,rain_score,rain_risk_level,storm_score,storm_risk_level,flood_score,flood_risk_level,combined_score,combined_risk_level
1,Thành phố Hà Nội,2026-07-15 15:00:00,0,Low,2,High,0,Low,2,High
1,Thành phố Hà Nội,2026-07-15 16:00:00,0,Low,2,High,0,Low,2,High
1,Thành phố Hà Nội,2026-07-15 17:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 18:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 19:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 20:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 21:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 22:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-15 23:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 00:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 01:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 02:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 03:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 04:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 05:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 06:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 07:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 08:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 09:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 10:00:00,0,Low,0,Low,0,Low,0,Low
1,Thành phố Hà Nội,2026-07-16 11:00:00,0,Low,0,Low,0,Low,0,Low
